"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"County","Anderson","TX","48001","=""48001""","15.39","2020-2024","2022","Census","Texas (State)"
"County","Andrews","TX","48003","=""48003""","17.68","2020-2024","2022","Census","Texas (State)"
"County","Angelina","TX","48005","=""48005""","17.94","2020-2024","2022","Census","Texas (State)"
"County","Aransas","TX","48007","=""48007""","28.81","2020-2024","2022","Census","Texas (State)"
"County","Archer","TX","48009","=""48009""","25.37","2020-2024","2022","Census","Texas (State)"
"County","Armstrong","TX","48011","=""48011""","27.17","2020-2024","2022","Census","Texas (State)"
"County","Atascosa","TX","48013","=""48013""","15.75","2020-2024","2022","Census","Texas (State)"
"County","Austin","TX","48015","=""48015""","25.07","2020-2024","2022","Census","Texas (State)"
"County","Bailey","TX","48017","=""48017""","15.20","2020-2024","2022","Census","Texas (State)"
"County","Bandera","TX","48019","=""48019""","27.24","2020-2024","2022","Census","Texas (State)"
"County","Bastrop","TX","48021","=""48021""","24.99","2020-2024","2022","Census","Texas (State)"
"County","Baylor","TX","48023","=""48023""","25.31","2020-2024","2022","Census","Texas (State)"
"County","Bee","TX","48025","=""48025""","13.97","2020-2024","2022","Census","Texas (State)"
"County","Bell","TX","48027","=""48027""","27.16","2020-2024","2022","Census","Texas (State)"
"County","Bexar","TX","48029","=""48029""","31.84","2020-2024","2022","Census","Texas (State)"
"County","Blanco","TX","48031","=""48031""","35.41","2020-2024","2022","Census","Texas (State)"
"County","Borden","TX","48033","=""48033""","36.89","2020-2024","2022","Census","Texas (State)"
"County","Bosque","TX","48035","=""48035""","20.37","2020-2024","2022","Census","Texas (State)"
"County","Bowie","TX","48037","=""48037""","23.62","2020-2024","2022","Census","Texas (State)"
"County","Brazoria","TX","48039","=""48039""","33.14","2020-2024","2022","Census","Texas (State)"
"County","Brazos","TX","48041","=""48041""","43.01","2020-2024","2022","Census","Texas (State)"
"County","Brewster","TX","48043","=""48043""","45.47","2020-2024","2022","Census","Texas (State)"
"County","Briscoe","TX","48045","=""48045""","23.11","2020-2024","2022","Census","Texas (State)"
"County","Brooks","TX","48047","=""48047""","16.96","2020-2024","2022","Census","Texas (State)"
"County","Brown","TX","48049","=""48049""","20.17","2020-2024","2022","Census","Texas (State)"
"County","Burleson","TX","48051","=""48051""","23.47","2020-2024","2022","Census","Texas (State)"
"County","Burnet","TX","48053","=""48053""","28.54","2020-2024","2022","Census","Texas (State)"
"County","Caldwell","TX","48055","=""48055""","19.34","2020-2024","2022","Census","Texas (State)"
"County","Calhoun","TX","48057","=""48057""","20.06","2020-2024","2022","Census","Texas (State)"
"County","Callahan","TX","48059","=""48059""","24.00","2020-2024","2022","Census","Texas (State)"
"County","Cameron","TX","48061","=""48061""","22.08","2020-2024","2022","Census","Texas (State)"
"County","Camp","TX","48063","=""48063""","22.25","2020-2024","2022","Census","Texas (State)"
"County","Carson","TX","48065","=""48065""","26.36","2020-2024","2022","Census","Texas (State)"
"County","Cass","TX","48067","=""48067""","18.91","2020-2024","2022","Census","Texas (State)"
"County","Castro","TX","48069","=""48069""","18.60","2020-2024","2022","Census","Texas (State)"
"County","Chambers","TX","48071","=""48071""","21.93","2020-2024","2022","Census","Texas (State)"
"County","Cherokee","TX","48073","=""48073""","18.94","2020-2024","2022","Census","Texas (State)"
"County","Childress","TX","48075","=""48075""","11.84","2020-2024","2022","Census","Texas (State)"
