County,homeownership rate
Anderson County,72.45267
Andrews County,81.59696
Angelina County,66.6921
Aransas County,79.65861
Archer County,86.06501
Armstrong County,78.26087
Atascosa County,78.10462
Austin County,77.30864
Bailey County,76.72286
Bandera County,83.3395
Bastrop County,77.67842
Baylor County,67.11567
Bee County,72.6614
Bell County,60.16174
Bexar County,63.69822
Blanco County,80.34264
Borden County,58.20477
Bosque County,76.4991
Bowie County,66.0102
Brazoria County,78.00911
Brazos County,51.46869
Brewster County,67.35688
Briscoe County,81.93697
Brooks County,51.91232
Brown County,71.26239
Burleson County,80.46324
Burnet County,76.89492
Caldwell County,77.08992
Calhoun County,80.97429
Callahan County,79.53774
Cameron County,66.82016
Camp County,78.8005
Carson County,80.58998
Cass County,77.56101
Castro County,62.21179
Chambers County,81.59688
Cherokee County,75.34095
Childress County,70.34457
Clay County,82.34333
Cochran County,64.34968
Coke County,73.35823
Coleman County,79.04823
Collin County,70.62634
Collingsworth County,73.43071
Colorado County,81.87203
Comal County,80.53749
Comanche County,81.09363
Concho County,85.92863
Cooke County,73.70059
Coryell County,58.75307
Cottle County,85.98679
Crane County,85.95004
Crockett County,79.47235
Crosby County,70.57397
Culberson County,71.67283
Dallam County,67.27248
Dallas County,56.01282
Dawson County,73.38993
Deaf Smith County,67.28388
Delta County,75.39461
Denton County,70.7994
DeWitt County,74.60858
Dickens County,72.51462
Dimmit County,71.8788
Donley County,78.81028
Duval County,66.6009
Eastland County,72.1473
Ector County,69.17146
Edwards County,88.23058
El Paso County,67.63256
Ellis County,78.85386
Erath County,67.1631
Falls County,74.18009
Fannin County,79.05465
Fayette County,80.81071
Fisher County,78.73165
Floyd County,73.97998
Foard County,74.9736
Fort Bend County,79.87743
Franklin County,85.27345
Freestone County,79.96554
Frio County,62.13301
Gaines County,79.34245
Galveston County,71.94802
Garza County,70.36062
Gillespie County,76.0333
Glasscock County,72.09738
Goliad County,89.9431
Gonzales County,68.2198
Gray County,78.5766
Grayson County,68.96686
Gregg County,64.16286
Grimes County,78.96728
Guadalupe County,79.40663
Hale County,61.17073
Hall County,72.5824
Hamilton County,81.97346
Hansford County,81.89382
Hardeman County,75.01441
Hardin County,82.36025
Harris County,59.4121
Harrison County,79.19974
Hartley County,82.59958
Haskell County,75.85151
Hays County,68.24765
Hemphill County,80.35099
Henderson County,79.9032
Hidalgo County,70.76616
Hill County,80.22477
Hockley County,76.38516
Hood County,82.03833
Hopkins County,72.1521
Houston County,73.7144
Howard County,73.2726
Hudspeth County,78.15501
Hunt County,73.31798
Hutchinson County,86.068
Irion County,81.39205
Jack County,73.87907
Jackson County,70.8166
Jasper County,80.71777
Jeff Davis County,79.89189
Jefferson County,64.2014
Jim Hogg County,49.8067
Jim Wells County,71.49392
Johnson County,76.15334
Jones County,82.24836
Karnes County,64.17486
Kaufman County,80.36895
Kendall County,83.75261
Kenedy County,41.00719
Kent County,73.40267
Kerr County,70.41157
Kimble County,80.29432
King County,56.3981
Kinney County,83.01819
Kleberg County,58.3894
Knox County,79.32873
La Salle County,76.67603
Lamar County,69.0296
Lamb County,73.85248
Lampasas County,79.37906
Lavaca County,77.68394
Lee County,77.78667
Leon County,79.09664
Liberty County,85.41141
Limestone County,74.44076
Lipscomb County,83.84508
Live Oak County,66.96955
Llano County,79.57483
Loving County,18.18182
Lubbock County,59.72386
Lynn County,79.23334
Madison County,77.68233
Marion County,77.02141
Martin County,73.1433
Mason County,83.58247
Matagorda County,71.91699
Maverick County,75.24254
McCulloch County,75.17213
McLennan County,65.10213
McMullen County,71.85714
Medina County,83.9751
Menard County,73.80828
Midland County,73.04789
Milam County,78.13086
Mills County,81.47552
Mitchell County,79.30581
Montague County,81.7427
Montgomery County,75.93937
Moore County,61.98709
Morris County,73.28595
Motley County,76.92308
Nacogdoches County,63.9625
Navarro County,70.03771
Newton County,83.15472
Nolan County,66.04565
Nueces County,62.37241
Ochiltree County,76.45666
Oldham County,70.79237
Orange County,76.11639
Palo Pinto County,73.67441
Panola County,81.57859
Parker County,83.20365
Parmer County,71.21212
Pecos County,74.65593
Polk County,78.62465
Potter County,60.83954
Presidio County,87.89873
Rains County,80.8812
Randall County,71.19132
Reagan County,74.4727
Real County,73.4913
Red River County,72.56034
Reeves County,67.98657
Refugio County,77.91673
Roberts County,84.13462
Robertson County,74.10203
Rockwall County,85.3776
Runnels County,75.48868
Rusk County,80.62301
Sabine County,86.56837
San Augustine County,73.57798
San Jacinto County,85.06202
San Patricio County,69.4446
San Saba County,75.37639
Schleicher County,85.07209
Scurry County,79.40309
Shackelford County,78.50527
Shelby County,70.18918
Sherman County,76.36122
Smith County,71.01866
Somervell County,83.07922
Starr County,72.33676
Stephens County,83.60897
Sterling County,85.63459
Stonewall County,86.87553
Sutton County,77.25599
Swisher County,66.98967
Tarrant County,63.92327
Taylor County,63.62224
Terrell County,80.47904
Terry County,66.21101
Throckmorton County,63.69738
Titus County,76.07236
Tom Green County,68.47177
Travis County,58.72096
Trinity County,81.53448
Tyler County,80.78856
Upshur County,79.54216
Upton County,79.94867
Uvalde County,74.30509
Val Verde County,73.35133
Van Zandt County,82.2634
Victoria County,68.78076
Walker County,60.78921
Waller County,75.20797
Ward County,80.04718
Washington County,74.80301
Webb County,67.24962
Wharton County,73.00585
Wheeler County,75.88519
Wichita County,64.51948
Wilbarger County,69.42004
Willacy County,76.90686
Williamson County,70.30184
Wilson County,86.71506
Winkler County,86.83458
Wise County,82.43113
Wood County,81.42595
Yoakum County,64.34574
Young County,75.71782
Zapata County,77.25634
Zavala County,73.61334
