County Name,Offense Rate
Fannin County,2022.06
Morris County,2701.15
Red River County,1420.99
Parker County,2616.84
McMullen County,6126.13
Williamson County,2863.32
Crockett County,2464.14
Runnels County,1437.73
Burnet County,2709.00
Howard County,7139.50
Collin County,2629.21
Montague County,2634.35
Rusk County,3335.86
Shelby County,2403.95
Winkler County,2740.29
Caldwell County,2168.91
Collingsworth County,231.48
Deaf Smith County,2449.76
Duval County,54.18
Brewster County,899.00
Galveston County,4881.68
Bowie County,5329.39
Cooke County,3292.05
Palo Pinto County,3804.88
Kendall County,2330.58
Refugio County,3776.71
Culberson County,0.00
Frio County,1322.86
Gregg County,5736.72
Robertson County,1583.02
Delta County,3034.53
Menard County,1586.46
Borden County,2985.07
Comanche County,3327.12
Lavaca County,2696.53
Dallas County,6290.43
Taylor County,5164.10
Wood County,1551.30
Upshur County,2042.66
Statewide County,0.00
Brooks County,2610.93
Hutchinson County,3617.93
Somervell County,1904.39
Fort Bend County,2768.69
Guadalupe County,3835.98
Jasper County,3055.00
Reagan County,3072.90
Sutton County,896.72
Oldham County,874.32
Scurry County,5622.34
Motley County,1501.50
Camp County,2000.30
Childress County,2568.72
Starr County,2582.38
Dawson County,4666.20
Hood County,2794.12
Edwards County,2777.78
Tyler County,1369.73
Nolan County,3802.99
Denton County,2707.83
Zapata County,1578.53
Martin County,5090.41
Lynn County,1864.63
Orange County,2729.92
Brazos County,3989.04
Stephens County,3450.81
Hansford County,162.40
Gonzales County,3566.62
San Augustine County,1949.06
Washington County,4660.73
McLennan County,4609.08
Blanco County,1555.15
Falls County,1314.26
Jim Wells County,4991.83
Waller County,4559.27
Wichita County,5602.56
Tom Green County,5982.76
Kleberg County,3942.88
Throckmorton County,1228.18
Fayette County,1525.50
Irion County,2099.74
Parmer County,1471.36
Zavala County,3145.00
Aransas County,3676.80
Walker County,3999.62
Tarrant County,4828.90
Hamilton County,3135.46
Hudspeth County,5372.57
San Patricio County,4219.96
Calhoun County,2758.59
Kaufman County,2599.87
Glasscock County,4407.95
Anderson County,2540.64
Hardin County,2016.40
Cochran County,1746.22
Lamar County,4187.78
Madison County,1897.41
Webb County,4144.01
Chambers County,4118.92
Dallam County,1369.50
Swisher County,1938.66
Dimmit County,4260.87
Erath County,2432.76
Hall County,885.58
Wharton County,3943.10
Floyd County,3663.23
Kimble County,566.89
Panola County,2794.42
Titus County,4739.67
Carson County,1378.12
Ward County,5940.41
Kent County,0.00
Franklin County,2218.30
Willacy County,4057.24
Cottle County,349.65
Nueces County,8493.88
Foard County,480.77
Hardeman County,1514.25
Bandera County,1369.75
Fisher County,438.72
Briscoe County,265.43
Bee County,3134.03
Houston County,4427.18
Live Oak County,1416.03
Brazoria County,3465.63
Hunt County,2977.81
Garza County,2486.44
Polk County,3666.41
Van Zandt County,1349.03
Rains County,944.21
Bosque County,1934.24
Sherman County,145.24
Matagorda County,4699.00
Moore County,3565.08
Gaines County,1618.87
Uvalde County,3983.64
Pecos County,2001.93
Jim Hogg County,2110.64
Wise County,1778.58
Llano County,2941.48
Reeves County,2244.81
Cass County,1327.64
Milam County,2056.43
Randall County,2090.31
Shackelford County,1482.18
Burleson County,1492.54
Eastland County,3064.51
Nacogdoches County,4442.69
Presidio County,503.33
Cherokee County,2531.46
Colorado County,2287.35
Roberts County,477.90
Hopkins County,1712.46
Harrison County,3394.33
Sterling County,795.95
Brown County,5469.66
Callahan County,1793.33
Potter County,12996.42
Bexar County,7854.40
Lipscomb County,264.23
Schleicher County,973.88
Karnes County,2606.23
Rockwall County,2444.50
Archer County,1930.24
Liberty County,2839.43
Freestone County,2111.53
Loving County,20454.55
Wilson County,2038.94
Real County,3796.10
Austin County,2354.72
El Paso County,4485.29
Harris County,7327.44
Coleman County,1866.83
Coke County,940.90
Terrell County,423.73
Jones County,1632.44
Sabine County,1879.10
Wilbarger County,5557.81
Hemphill County,587.08
Jeff Davis County,348.23
Maverick County,4028.97
Stonewall County,244.30
Kinney County,219.09
Bastrop County,4016.59
Hill County,3049.76
Donley County,1044.63
Navarro County,3739.80
Trinity County,1932.00
Jack County,1885.02
Comal County,3191.81
Montgomery County,3244.60
Concho County,573.15
King County,0.00
Johnson County,2567.54
Angelina County,4100.90
Crosby County,2988.39
Jefferson County,6143.32
Bailey County,1490.84
Castro County,1236.25
Hartley County,130.61
Mills County,1093.37
Goliad County,2472.03
Baylor County,763.57
Knox County,559.35
Mason County,930.82
Terry County,2971.85
Lubbock County,7033.24
Victoria County,5007.47
Grayson County,3142.24
Leon County,1820.23
Wheeler County,1929.93
Hockley County,2670.58
Mitchell County,2241.90
Newton County,1703.82
Upton County,1106.41
Tribal County,0.00
Clay County,1378.86
Hale County,4229.81
Dickens County,0.00
Midland County,5045.81
Ochiltree County,1476.24
Travis County,6834.86
Cameron County,5055.30
Lamb County,3216.10
Coryell County,3231.30
San Saba County,2596.94
Kerr County,3027.10
Lampasas County,3354.50
Smith County,3897.73
Gillespie County,1623.24
Ellis County,2734.94
Henderson County,2673.73
Medina County,2397.07
Andrews County,2927.81
Jackson County,2327.86
Young County,2316.79
Lee County,2524.57
Yoakum County,3268.67
Marion County,2431.67
Armstrong County,2289.22
Haskell County,1917.71
Limestone County,3673.02
Atascosa County,4669.38
DeWitt County,3108.04
Kenedy County,33333.33
Crane County,1712.40
San Jacinto County,2497.72
La Salle County,150.20
McCulloch County,2966.27
Grimes County,3070.75
Hays County,3465.10
Val Verde County,3140.07
Bell County,3410.22
Gray County,4328.11
Hidalgo County,4408.93
Ector County,5126.28
