Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,People in Poverty,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cpov,TimeFrame,GeoVintage,Source,Location
County,Anderson,TX,48001,48001,8373,2020-2024,2022,Census,Texas (State)
County,Andrews,TX,48003,48003,2872,2020-2024,2022,Census,Texas (State)
County,Angelina,TX,48005,48005,13351,2020-2024,2022,Census,Texas (State)
County,Aransas,TX,48007,48007,3513,2020-2024,2022,Census,Texas (State)
County,Archer,TX,48009,48009,808,2020-2024,2022,Census,Texas (State)
County,Armstrong,TX,48011,48011,92,2020-2024,2022,Census,Texas (State)
County,Atascosa,TX,48013,48013,7970,2020-2024,2022,Census,Texas (State)
County,Austin,TX,48015,48015,3689,2020-2024,2022,Census,Texas (State)
County,Bailey,TX,48017,48017,811,2020-2024,2022,Census,Texas (State)
County,Bandera,TX,48019,48019,2918,2020-2024,2022,Census,Texas (State)
County,Bastrop,TX,48021,48021,10513,2020-2024,2022,Census,Texas (State)
County,Baylor,TX,48023,48023,744,2020-2024,2022,Census,Texas (State)
County,Bee,TX,48025,48025,4236,2020-2024,2022,Census,Texas (State)
County,Bell,TX,48027,48027,54547,2020-2024,2022,Census,Texas (State)
County,Bexar,TX,48029,48029,296387,2020-2024,2022,Census,Texas (State)
County,Blanco,TX,48031,48031,1038,2020-2024,2022,Census,Texas (State)
County,Borden,TX,48033,48033,53,2020-2024,2022,Census,Texas (State)
County,Bosque,TX,48035,48035,1700,2020-2024,2022,Census,Texas (State)
County,Bowie,TX,48037,48037,13997,2020-2024,2022,Census,Texas (State)
County,Brazoria,TX,48039,48039,27893,2020-2024,2022,Census,Texas (State)
County,Brazos,TX,48041,48041,54295,2020-2024,2022,Census,Texas (State)
County,Brewster,TX,48043,48043,808,2020-2024,2022,Census,Texas (State)
County,Briscoe,TX,48045,48045,217,2020-2024,2022,Census,Texas (State)
County,Brooks,TX,48047,48047,1278,2020-2024,2022,Census,Texas (State)
County,Brown,TX,48049,48049,5600,2020-2024,2022,Census,Texas (State)
County,Burleson,TX,48051,48051,2367,2020-2024,2022,Census,Texas (State)
County,Burnet,TX,48053,48053,4099,2020-2024,2022,Census,Texas (State)
County,Caldwell,TX,48055,48055,6133,2020-2024,2022,Census,Texas (State)
County,Calhoun,TX,48057,48057,1503,2020-2024,2022,Census,Texas (State)
County,Callahan,TX,48059,48059,1350,2020-2024,2022,Census,Texas (State)
County,Cameron,TX,48061,48061,104877,2020-2024,2022,Census,Texas (State)
County,Camp,TX,48063,48063,2535,2020-2024,2022,Census,Texas (State)
County,Carson,TX,48065,48065,425,2020-2024,2022,Census,Texas (State)
County,Cass,TX,48067,48067,4935,2020-2024,2022,Census,Texas (State)
County,Castro,TX,48069,48069,1390,2020-2024,2022,Census,Texas (State)
County,Chambers,TX,48071,48071,6054,2020-2024,2022,Census,Texas (State)
County,Cherokee,TX,48073,48073,8839,2020-2024,2022,Census,Texas (State)
County,Childress,TX,48075,48075,815,2020-2024,2022,Census,Texas (State)
County,Clay,TX,48077,48077,870,2020-2024,2022,Census,Texas (State)
County,Cochran,TX,48079,48079,678,2020-2024,2022,Census,Texas (State)
County,Coke,TX,48081,48081,735,2020-2024,2022,Census,Texas (State)
County,Coleman,TX,48083,48083,1526,2020-2024,2022,Census,Texas (State)
County,Collin,TX,48085,48085,71971,2020-2024,2022,Census,Texas (State)
County,Collingsworth,TX,48087,48087,550,2020-2024,2022,Census,Texas (State)
County,Colorado,TX,48089,48089,2199,2020-2024,2022,Census,Texas (State)
County,Comal,TX,48091,48091,11813,2020-2024,2022,Census,Texas (State)
County,Comanche,TX,48093,48093,2223,2020-2024,2022,Census,Texas (State)
