Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,USDA ERS Rural-Urban Continuum Codes,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,classification,TimeFrame,GeoVintage,Source,Location
County,Anderson,TX,48001,48001,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Andrews,TX,48003,48003,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Angelina,TX,48005,48005,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Aransas,TX,48007,48007,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Archer,TX,48009,48009,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Armstrong,TX,48011,48011,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Atascosa,TX,48013,48013,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Austin,TX,48015,48015,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Bailey,TX,48017,48017,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Bandera,TX,48019,48019,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Bastrop,TX,48021,48021,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Baylor,TX,48023,48023,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Bee,TX,48025,48025,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Bell,TX,48027,48027,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Bexar,TX,48029,48029,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Blanco,TX,48031,48031,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Borden,TX,48033,48033,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Bosque,TX,48035,48035,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Bowie,TX,48037,48037,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Brazoria,TX,48039,48039,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Brazos,TX,48041,48041,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Brewster,TX,48043,48043,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Briscoe,TX,48045,48045,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Brooks,TX,48047,48047,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Brown,TX,48049,48049,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
