Facility,State,Total Population
BASTROP FCI,TX,1023
BASTROP-CAMP,TX,106
BEAUMONT LOW FCI-CAMP,TX,475
BEAUMONT LOW FCI,TX,1664
BEAUMONT MED FCI,TX,1080
BEAUMONT USP,TX,1195
BIG SPRING FCI,TX,494
BIG SPRING-CAMP,TX,107
BRYAN FPC,TX,629
CARSWELL FMC,TX,966
CARSWELL-CAMP,TX,184
FORT WORTH ADMINISTRATIVE,TX,1543
HOUSTON FDC,TX,870
LA TUNA FCI,TX,540
LA TUNA-CAMP,TX,150
SEAGOVILLE FCI,TX,1370
SEAGOVILLE-CAMP,TX,97
TEXARKANA FCI,TX,1119
TEXARKANA-CAMP,TX,239
THREE RIVERS FCI,TX,988
THREE RIVERS-CAMP,TX,222
