Geo__geoid_,Geo__geo_level_,Geo_Name,Geo_qname,ORGU_total_number_of_people_unemployed_M01,ORGU_unemployment_rate_M01
"48001","SL050","Anderson County, Texas","Anderson County, Texas",846,4.3
"48003","SL050","Andrews County, Texas","Andrews County, Texas",290,3
"48005","SL050","Angelina County, Texas","Angelina County, Texas",1609,4.3
"48007","SL050","Aransas County, Texas","Aransas County, Texas",480,4.8
"48009","SL050","Archer County, Texas","Archer County, Texas",153,3.7
"48011","SL050","Armstrong County, Texas","Armstrong County, Texas",26,2.9
"48013","SL050","Atascosa County, Texas","Atascosa County, Texas",995,4.3
"48015","SL050","Austin County, Texas","Austin County, Texas",571,3.7
"48017","SL050","Bailey County, Texas","Bailey County, Texas",108,4.2
"48019","SL050","Bandera County, Texas","Bandera County, Texas",374,3.8
"48021","SL050","Bastrop County, Texas","Bastrop County, Texas",2036,3.6
"48023","SL050","Baylor County, Texas","Baylor County, Texas",56,3.1
"48025","SL050","Bee County, Texas","Bee County, Texas",500,5
"48027","SL050","Bell County, Texas","Bell County, Texas",7577,4.6
"48029","SL050","Bexar County, Texas","Bexar County, Texas",40621,3.9
"48031","SL050","Blanco County, Texas","Blanco County, Texas",222,3.4
"48033","SL050","Borden County, Texas","Borden County, Texas",9,2.7
"48035","SL050","Bosque County, Texas","Bosque County, Texas",338,4
"48037","SL050","Bowie County, Texas","Bowie County, Texas",1698,4.2
"48039","SL050","Brazoria County, Texas","Brazoria County, Texas",8862,4.4
"48041","SL050","Brazos County, Texas","Brazos County, Texas",4763,3.5
"48043","SL050","Brewster County, Texas","Brewster County, Texas",160,2.9
"48045","SL050","Briscoe County, Texas","Briscoe County, Texas",26,3.7
"48047","SL050","Brooks County, Texas","Brooks County, Texas",125,4.2
"48049","SL050","Brown County, Texas","Brown County, Texas",682,3.9
"48051","SL050","Burleson County, Texas","Burleson County, Texas",342,3.5
"48053","SL050","Burnet County, Texas","Burnet County, Texas",934,3.6
"48055","SL050","Caldwell County, Texas","Caldwell County, Texas",931,3.7
"48057","SL050","Calhoun County, Texas","Calhoun County, Texas",390,3.3
"48059","SL050","Callahan County, Texas","Callahan County, Texas",243,3.5
"48061","SL050","Cameron County, Texas","Cameron County, Texas",10417,5.4
"48063","SL050","Camp County, Texas","Camp County, Texas",243,4.5
"48065","SL050","Carson County, Texas","Carson County, Texas",89,2.8
"48067","SL050","Cass County, Texas","Cass County, Texas",580,5.2
"48069","SL050","Castro County, Texas","Castro County, Texas",104,2.8
"48071","SL050","Chambers County, Texas","Chambers County, Texas",1262,4.7
"48073","SL050","Cherokee County, Texas","Cherokee County, Texas",929,4.3
"48075","SL050","Childress County, Texas","Childress County, Texas",87,2.7
"48077","SL050","Clay County, Texas","Clay County, Texas",190,3.8
"48079","SL050","Cochran County, Texas","Cochran County, Texas",43,3.9
"48081","SL050","Coke County, Texas","Coke County, Texas",57,2.6
"48083","SL050","Coleman County, Texas","Coleman County, Texas",133,3.7
"48085","SL050","Collin County, Texas","Collin County, Texas",26112,3.8
"48087","SL050","Collingsworth County, Texas","Collingsworth County, Texas",41,3.2
"48089","SL050","Colorado County, Texas","Colorado County, Texas",350,3.7
"48091","SL050","Comal County, Texas","Comal County, Texas",3547,3.6
"48093","SL050","Comanche County, Texas","Comanche County, Texas",248,3.3
"48095","SL050","Concho County, Texas","Concho County, Texas",39,3.3
"48097","SL050","Cooke County, Texas","Cooke County, Texas",773,3.4
"48099","SL050","Coryell County, Texas","Coryell County, Texas",1252,4.7
"48101","SL050","Cottle County, Texas","Cottle County, Texas",30,2.8
"48103","SL050","Crane County, Texas","Crane County, Texas",76,2.7
"48105","SL050","Crockett County, Texas","Crockett County, Texas",49,3.8
"48107","SL050","Crosby County, Texas","Crosby County, Texas",100,4.3
"48109","SL050","Culberson County, Texas","Culberson County, Texas",35,3.2
"48111","SL050","Dallam County, Texas","Dallam County, Texas",96,2.6
"48113","SL050","Dallas County, Texas","Dallas County, Texas",58378,4
"48115","SL050","Dawson County, Texas","Dawson County, Texas",190,4.3
"48117","SL050","Deaf Smith County, Texas","Deaf Smith County, Texas",293,3.3
"48119","SL050","Delta County, Texas","Delta County, Texas",106,4.5
"48121","SL050","Denton County, Texas","Denton County, Texas",22147,3.7
"48123","SL050","DeWitt County, Texas","DeWitt County, Texas",333,4.9
"48125","SL050","Dickens County, Texas","Dickens County, Texas",34,4.5
"48127","SL050","Dimmit County, Texas","Dimmit County, Texas",188,6.3
"48129","SL050","Donley County, Texas","Donley County, Texas",64,4.4
"48131","SL050","Duval County, Texas","Duval County, Texas",199,5
"48133","SL050","Eastland County, Texas","Eastland County, Texas",313,5.2
"48135","SL050","Ector County, Texas","Ector County, Texas",3208,3.7
"48137","SL050","Edwards County, Texas","Edwards County, Texas",27,3.3
"48139","SL050","Ellis County, Texas","Ellis County, Texas",4648,3.8
"48141","SL050","El Paso County, Texas","El Paso County, Texas",17746,4.2
"48143","SL050","Erath County, Texas","Erath County, Texas",874,3.8
"48145","SL050","Falls County, Texas","Falls County, Texas",289,4.3
"48147","SL050","Fannin County, Texas","Fannin County, Texas",634,3.8
"48149","SL050","Fayette County, Texas","Fayette County, Texas",428,4
"48151","SL050","Fisher County, Texas","Fisher County, Texas",54,2.9
"48153","SL050","Floyd County, Texas","Floyd County, Texas",106,4.3
"48155","SL050","Foard County, Texas","Foard County, Texas",18,3.3
"48157","SL050","Fort Bend County, Texas","Fort Bend County, Texas",19825,4.2
"48159","SL050","Franklin County, Texas","Franklin County, Texas",213,3.8
"48161","SL050","Freestone County, Texas","Freestone County, Texas",346,4.7
"48163","SL050","Frio County, Texas","Frio County, Texas",473,7.3
"48165","SL050","Gaines County, Texas","Gaines County, Texas",329,3.4
"48167","SL050","Galveston County, Texas","Galveston County, Texas",7928,4.3
"48169","SL050","Garza County, Texas","Garza County, Texas",77,4.9
"48171","SL050","Gillespie County, Texas","Gillespie County, Texas",428,3.1
"48173","SL050","Glasscock County, Texas","Glasscock County, Texas",19,2.9
"48175","SL050","Goliad County, Texas","Goliad County, Texas",125,4.3
"48177","SL050","Gonzales County, Texas","Gonzales County, Texas",324,3.7
"48179","SL050","Gray County, Texas","Gray County, Texas",362,4
"48181","SL050","Grayson County, Texas","Grayson County, Texas",2711,3.8
"48183","SL050","Gregg County, Texas","Gregg County, Texas",2796,4.9
"48185","SL050","Grimes County, Texas","Grimes County, Texas",568,4.5
"48187","SL050","Guadalupe County, Texas","Guadalupe County, Texas",3541,3.7
"48189","SL050","Hale County, Texas","Hale County, Texas",576,4.2
"48191","SL050","Hall County, Texas","Hall County, Texas",53,4.8
"48193","SL050","Hamilton County, Texas","Hamilton County, Texas",148,4.4
"48195","SL050","Hansford County, Texas","Hansford County, Texas",76,3.4
"48197","SL050","Hardeman County, Texas","Hardeman County, Texas",58,3.2
"48199","SL050","Hardin County, Texas","Hardin County, Texas",1243,4.5
"48201","SL050","Harris County, Texas","Harris County, Texas",111419,4.4
"48203","SL050","Harrison County, Texas","Harrison County, Texas",1633,5.1
"48205","SL050","Hartley County, Texas","Hartley County, Texas",61,3.2
"48207","SL050","Haskell County, Texas","Haskell County, Texas",85,4.2
"48209","SL050","Hays County, Texas","Hays County, Texas",5602,3.4
"48211","SL050","Hemphill County, Texas","Hemphill County, Texas",58,5
"48213","SL050","Henderson County, Texas","Henderson County, Texas",1658,4.5
"48215","SL050","Hidalgo County, Texas","Hidalgo County, Texas",25055,6.2
"48217","SL050","Hill County, Texas","Hill County, Texas",725,3.9
"48219","SL050","Hockley County, Texas","Hockley County, Texas",374,3.7
"48221","SL050","Hood County, Texas","Hood County, Texas",1236,4.2
"48223","SL050","Hopkins County, Texas","Hopkins County, Texas",640,3.3
"48225","SL050","Houston County, Texas","Houston County, Texas",366,4.4
"48227","SL050","Howard County, Texas","Howard County, Texas",470,3.4
"48229","SL050","Hudspeth County, Texas","Hudspeth County, Texas",43,4
"48231","SL050","Hunt County, Texas","Hunt County, Texas",2337,4.2
"48233","SL050","Hutchinson County, Texas","Hutchinson County, Texas",396,4.6
