"county","pop2026","areaMi","densityMi","growthSince2020"
"Harris County",5093721,1707,2984.019332161687,0.07597305484087657
"Dallas County",2658781,873,3045.5681557846506,0.018377111707436944
"Tarrant County",2266894,865,2620.686705202312,0.07121275270603733
"Bexar County",2181234,1240,1759.0596774193548,0.08223401531735175
"Travis County",1404419,994,1412.8963782696178,0.08317856625008102
"Collin County",1340145,841,1593.513674197384,0.24605304264387562
"Denton County",1092466,879,1242.8509670079636,0.1945824954593518
"Fort Bend County",999354,862,1159.3433874709976,0.20353779805310301
"Hidalgo County",929486,1571,591.652450668364,0.06500464621720003
"El Paso County",875822,1013,864.5824284304048,0.010662580113595777
"Montgomery County",811205,1042,778.5076775431862,0.2971621554634143
"Williamson County",776641,1116,695.9148745519714,0.26157752216903196
"Cameron County",434940,892,487.60089686098655,0.03187632857576683
"Brazoria County",426744,1363,313.09170946441674,0.14258480816086117
"Bell County",407057,1054,386.2020872865275,0.09304336384654421
"Galveston County",377047,379,994.8469656992085,0.07241755928848126
"Nueces County",353059,839,420.8092967818832,-0.0014000690135028693
"Lubbock County",332675,896,371.2890625,0.06767247881022764
"Hays County",314441,677,464.46233382570165,0.2887771329267492
"Webb County",281878,3361,83.86730139839334,0.054395966125026174
"McLennan County",273692,1037,263.92671166827387,0.04786955040219909
"Smith County",255569,921,277.49077090119437,0.09121923101556328
"Jefferson County",254145,877,289.7890535917902,-0.007792582991399288
"Brazos County",249803,586,426.2849829351536,0.06513535754945066
"Ellis County",249280,936,266.3247863247863,0.2828192381716943
"Johnson County",224506,725,309.6634482758621,0.24067309552098592
"Kaufman County",220460,781,282.27912932138287,0.4980464104916251
"Comal County",216846,560,387.225,0.325399735954232
"Guadalupe County",206548,711,290.50351617440225,0.1889570693406708
"Midland County",191635,900,212.92777777777778,0.12249739342322608
"Parker County",189860,904,210.02212389380531,0.2694655620858657
"Ector County",176948,898,197.0467706013363,0.06923035089521479
"Grayson County",156361,933,167.58949624866023,0.14838752322686322
"Randall County",154419,913,169.13362541073386,0.09319316130402466
"Taylor County",151764,916,165.6812227074236,0.0577067826377855
"Rockwall County",144596,127,1138.5511811023623,0.3241513200670336
"Wichita County",129586,628,206.34713375796179,-0.0001928848631674862
"Hunt County",127462,840,151.7404761904762,0.271314582086575
"Liberty County",126437,1158,109.18566493955095,0.3673151582658347
"Gregg County",125803,273,460.8168498168498,0.011969593371676801
"Bastrop County",121879,888,137.25112612612614,0.24290230471140117
"Tom Green County",120997,1522,79.49868593955323,0.006756250780047379
"Potter County",114355,908,125.94162995594714,-0.03378030130203713
"Victoria County",93124,882,105.58276643990929,0.01998926603796325
"Bowie County",92716,885,104.7638418079096,-0.0020558192601203285
"Henderson County",89599,874,102.51601830663616,0.08736650485436903
"Angelina County",88350,798,110.71428571428571,0.021434517203107628
"Orange County",86563,334,259.1706586826347,0.02128387545865329
"Wise County",86264,904,95.42477876106194,0.25145435290362816
"Coryell County",86011,1052,81.75950570342205,0.0350051743640345
